HOUSEID,WTHHFIN,HHVEHCNT,HHFAMINC,INCOME_LOW,INCOME_MID,INCOME_HIGH,WRKCOUNT,DRVRCNT,HOMEOWN,URBRUR,URSIZE,HHR_AGE,HHR_SEX,HHR_EDUC,HTRESDN,GSCOST,GSTOTCST,zero,logsum1,logsum2_old,logsum2,logsum3,logsum4,const,HTRESDN,HTRESDN_1000,HTRESDN_INCOME_LOW,HTRESDN_INCOME_MID,HTRESDN_INCOME_HIGH,BESTMILE,MILE_10K,GSYRGAL,GSCOST,GSTOTCST,COST_PER_MILE,MEAN_COST_10,MEAN_COST
67791002,1890.292145,0,3,3,0,0,0,2,0,1,5,58,0,2,3000,0,0,0,6.208445502,18.49049122,17.52989806,17.873817,28.25870186,1,3000,3,3,0,0,0,0,0,0,0,0,0,0
68536095,18484.96235,0,3,3,0,0,2,2,0,1,5,30,0,3,3000,0,0,0,6.278506908,18.99562358,17.73917504,18.70229061,28.29258552,1,3000,3,3,0,0,0,0,0,0,0,0,0,0
69734320,1863.229976,0,15,0,15,0,1,1,1,1,5,38,1,4,3000,0,0,0,7.332722962,19.2978581,18.03963014,22.23175111,32.17718883,1,3000,3,0,3,0,0,0,0,0,0,0,0,0
69829637,351.7003437,0,10,10,0,0,1,1,0,1,1,48,0,3,3000,0,0,0,6.443527168,19.21347731,17.88227016,18.41370178,30.09471286,1,3000,3,3,0,0,0,0,0,0,0,0,0,0
20243672,351.8196658,1,17,0,17,0,1,1,0,0,6,25,1,4,50,3.03,3632,0,7.352507,20.10980924,18.83842713,21.53998036,29.19395121,1,50,0.05,0,0.05,0,30575.42878,3.057542878,1199,3.03,3632,0.118788195,0.1325125,1.325125
20330349,577.6044135,1,17,0,17,0,0,1,1,1,5,78,0,4,17000,3.03,1164,0,7.219565788,19.34952003,18.1865652,21.33118756,28.86461405,1,17000,17,0,17,0,8519.46321,0.851946321,384,3.03,1164,0.136628326,0.1434714,1.434714
20437015,147.8304122,1,3,3,0,0,0,1,0,1,5,85,1,2,750,3.03,878,0,6.724697606,18.61659396,17.44301007,18.39541658,26.34467725,1,750,0.75,0.75,0,0,6226.68396,0.622668396,290,3.03,878,0.141006032,0.1641801,1.641801
20450920,136.3986709,1,18,0,0,18,1,2,1,1,5,64,1,4,7000,3.08,1429,0,7.245612582,19.52637125,18.2863146,22.4463886,30.26825964,1,7000,7,0,0,7,9054.46428,0.905446428,464,3.08,1429,0.1578227,0.142023,1.42023
20647337,897.6312211,1,6,6,0,0,0,2,1,1,5,72,1,5,1500,3.03,1607,0,6.618099832,19.41809187,18.01065169,19.04094542,26.1976527,1,1500,1.5,1.5,0,0,14284.19855,1.428419855,530,3.03,1607,0.112501937,0.1454715,1.454715
20902009,1493.715959,1,18,0,0,18,1,1,1,1,5,46,0,5,17000,3.08,1078,0,7.11635327,20.54938265,19.25074793,23.29197549,29.70611602,1,17000,17,0,0,17,8145.12665,0.814512665,350,3.08,1078,0.132349078,0.1342555,1.342555
21488706,128.7833903,1,17,0,17,0,1,1,1,0,6,52,1,3,50,3.02,437,0,7.080816815,18.94188195,17.72592777,21.81670546,29.222996,1,50,0.05,0,0.05,0,1644.8148,0.16448148,145,3.02,437,0.265683406,0.1393263,1.393263
21590627,558.3087413,1,17,0,17,0,1,1,1,1,5,67,0,5,3000,3.04,44,0,7.377495024,19.99757766,18.85389004,22.3545967,28.26739162,1,3000,3,0,3,0,277.33855,0.027733855,15,3.04,44,0.158650862,0.1397783,1.397783
21689941,926.0452421,1,18,0,0,18,1,1,1,1,5,64,1,5,17000,3.08,755,0,7.043233318,20.2367982,18.8894774,22.76169041,29.80447687,1,17000,17,0,0,17,4220.21397,0.422021397,245,3.08,755,0.178900882,0.1384459,1.384459
21801583,44.78145406,1,6,6,0,0,1,2,1,0,6,60,0,2,50,3.02,475,0,6.280681681,19.62932899,18.34421219,20.00059699,26.87337397,1,50,0.05,0.05,0,0,2734.99121,0.273499121,157,3.02,475,0.173675147,0.1517398,1.517398
21830707,579.2791805,1,15,0,15,0,0,1,1,1,5,64,0,3,17000,3.07,561,0,7.199218178,20.46093945,19.14702339,21.53914925,29.39735292,1,17000,17,0,17,0,3800,0.38,182,3.07,561,0.147631579,0.1450573,1.450573
22437288,5912.039531,1,8,8,0,0,2,2,0,1,5,24,1,2,300,3.03,2407,0,6.259125072,18.78114153,17.37903585,19.1358022,26.6728423,1,300,0.3,0.3,0,0,20708.73489,2.070873489,794,3.03,2407,0.116231147,0.1516989,1.516989
